tema,fonte,tipo,licenca,resolucao_espacial,resolucao_temporal,url_api,script_responsavel,data_acesso,observacao
setores_censitarios,IBGE (Malha de Setores Censitários — Divisões Intramunicipais),vetor,dados abertos,setor censitário,estático (Censo 2022),https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/gpkg/UF/,scripts/download/vulnerabilidade_censo.py,2026-07-27,"179 setores censitários em Uruguaiana (152 urbanos/27 rurais); a API de malhas do IBGE não serve setor censitário (intrarregiao só vai até 'municipio'), por isso usa o GeoPackage por UF do produto de divisões intramunicipais; baixa a UF inteira (RS) e filtra por CD_MUN"
vulnerabilidade_censo,IBGE (Censo 2022: Agregados por Setores Censitários + API de Agregados/SIDRA),tabular (join por cd_setor com a malha de setores),dados abertos,setor censitário (renda/água/esgoto aproximados por município),estático (Censo 2022),https://servicodados.ibge.gov.br/api/v3/agregados,scripts/download/vulnerabilidade_censo.py,2026-07-27,"população/domicílios/densidade/faixas etárias no nível de setor (temas 'básico' e 'demografia'); rendimento médio per capita (SIDRA 10295), % água inadequada (SIDRA 6803) e % esgoto inadequado (SIDRA 6805) só existem no nível de município, não no produto de setores do Censo 2022 — replicados por setor e sinalizados no nome da coluna e nos metadados; faixas etárias aproximadas (0-4 em vez de 0-5; 60+ em vez de 65+); 89,9% dos setores com dados completos (o restante tem alguma faixa etária suprimida por sigilo estatístico do IBGE, marcada 'X' na fonte)"
saude_mortalidade_sim,SIM (Sistema de Informação sobre Mortalidade) / DATASUS,tabular,dados abertos (microdados individuais),municipal (não espacializado por bairro/setor),anual,https://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/,scripts/download/saude_sim_obitos.py,2026-08-07,"óbitos de Uruguaiana 2010-2024 (15 anos, sem lacunas) por causa (CID-10 em CAUSABAS), agrupados em respiratórias (J00-J99), calor extremo (X30+T67) e afogamento/enchente (W65-W74+X38) — aproximações por causa básica de óbito, a validar com a equipe de saúde; baixado direto do FTP do DATASUS (não pela API de alto nível do pysus, que tem lacunas — faltava 2013 inteiro no catálogo em nuvem usado por ela); exige rodar com um venv Python 3.11 separado (.venv-pysus/, via uv) porque pyreaddbc/numpy do pysus não têm wheel para o Python 3.14 do venv principal do projeto; pico de óbitos totais em 2021 (COVID) consistente com o esperado"
saude_arboviroses_sinan,SINAN (Sistema de Informação de Agravos de Notificação) / DATASUS,tabular,dados abertos (microdados individuais),municipal (não espacializado),mensal,https://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/FINAIS/,scripts/download/saude_sinan_arboviroses.py,2026-08-07,"notificações de dengue/chikungunya/zika em Uruguaiana, 2010-2025 (ano corrente/2026 sai à parte, preliminar, em arboviroses_sinan_2026_preliminar.csv); contagem = todas as notificações (não só confirmadas, campo CLASSI_FIN muda de codificação entre agravos/anos); chikungunya e zika só existem a partir de 2014/2015 (início da série no SINAN, não falta de dado); pico de dengue em 2024 (421 notificações) consistente com a epidemia nacional recorde daquele ano; mesmo motivo do SIM para baixar direto do FTP em vez da API de alto nível do pysus — essa duplicava cada ano em 2 arquivos idênticos e somava os dois, dobrando as contagens; CORREÇÃO 2026-08-09: arboviroses_sinan_2026_preliminar.csv tinha um bug onde meses futuros do ano corrente (set-dez) apareciam como notificacoes=0 (artefato de um loop fixo de 12 meses), indistinguível de mês decorrido sem casos — corrigido para notificacoes=null com situacao=""mes_ainda_nao_decorrido""; mês em que a data de corte do arquivo cai no meio agora é situacao=""preliminar_mes_incompleto""; dado real de jan-jul/2026 confirmado contra o microdado bruto (15 notificações de dengue, 0 chikungunya, 0 zika em Uruguaiana até a data de corte do arquivo, 02/08/2026)"
saude_internacoes_sih,"SIH (Sistema de Informação Hospitalar), grupo RD / DATASUS",tabular,dados abertos (microdados individuais),municipal (não espacializado),mensal,https://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/,scripts/download/saude_sih_internacoes.py,2026-08-07,"internações respiratórias (DIAG_PRINC inicia com J) em Uruguaiana, 2010-2025, 192 meses sem lacunas; queda visível em 2020-2021 (padrão nacional conhecido); baixado direto do FTP — o catálogo em nuvem da API de alto nível do pysus está muito incompleto para este grupo (só 35 dos ~180 arquivos mensais esperados para RS 2010-2024 apareciam indexados lá)"
precipitacao_merge-inpe,"MERGE (CPTEC/INPE), grade diária agregada para total mensal — fallback automático do CHIRPS v2.0 (UCSB), bloqueado pela fonte",raster (extraído como série tabular),domínio público,"~0,1° (~10 km, MERGE) — CHIRPS teria ~0,05° (~5,5 km) mas não foi usado (bloqueio persistente)",mensal,"https://ftp.cptec.inpe.br/modelos/tempo/MERGE/GPM/DAILY/ (fonte efetivamente usada; CHIRPS tentado primeiro em https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_monthly/tifs/, mas bloqueado)",scripts/download/precipitacao_chirps.py,2026-08-09,"série completa 2010-2025 (192 meses, sem lacunas) para a área de estudo estendida (buffer 18km); CHIRPS continuou bloqueado (HTTP 403) mesmo com delay de 3s entre requisições — bug real corrigido antes de rodar: a checagem original tratava 403 (bloqueio) igual a 404 (mês genuinamente ausente), então a troca automática de fonte nunca disparava; corrigido para distinguir os dois casos. Com a correção, o script detectou o bloqueio (3 falhas seguidas) e trocou automaticamente para MERGE/INPE (CPTEC) a partir de 2010-03 — os 190 meses seguintes vieram 100% do MERGE (soma das médias espaciais diárias por mês, grade ~10km, lida via GDAL /vsicurl/ de arquivos GRIB2 diários); jan-fev/2010 (únicos meses tentados só via CHIRPS, antes do limite de 3 falhas ser atingido) recuperados manualmente via MERGE na mesma sessão — cobertura final é 100% MERGE, 0% CHIRPS — arquivo renomeado de precipitacao_chirps_2010-2025_mensal.csv para precipitacao_merge-inpe_2010-2025_mensal.csv (2026-08-09) pra refletir a fonte real, seguindo a convenção {tema}_{fonte}_... do projeto; script (precipitacao_chirps.py, nome mantido — ainda tenta CHIRPS primeiro) agora decide o nome do arquivo pela fonte dominante ao final de cada execução, em vez de nome fixo; precipitação média mensal 100,4mm (min 1,3mm, max 552,4mm), plausível para o clima subtropical úmido da região; salvamento incremental (por mês, com resume) implementado para não perder progresso se bloquear nas próximas atualizações"
focos_queimada_inpe,"INPE — Programa Queimadas (BDQUEIMADAS), dados abertos anuais",vetor (pontual),dados abertos,pontual (foco de calor),por detecção de satélite (agregado em arquivos anuais),https://dataserver-coids.inpe.br/queimadas/queimadas/focos/csv/anual/Brasil_todos_sats/,scripts/download/queimadas_inpe.py,2026-08-07,"2229 focos em Uruguaiana, 2010-2025, filtro espacial (ponto dentro de area_estudo.geojson, validado contra filtro por nome de município — resultado idêntico para 2023); picos em 2020 (391) e 2022 (404) consistentes com anos de estiagem/seca documentados no RS; mantém lat/lon, satélite, risco de fogo e FRP por foco — dado espacializável, não agregado; servidor não é API formal, é servidor de arquivos estáticos (validado por HEAD antes de codificar)"
nivel_rio_ana,"ANA — estação telemétrica (operada por SGB-CPRM), Web Service legado telemetriaws1.ana.gov.br","tabular (série temporal, tempo real)",dados abertos,"pontual (estação 77150000, Rio Uruguai, no próprio município)",~15 minutos (telemetria),https://telemetriaws1.ana.gov.br/ServiceANA.asmx,scripts/download/nivel_rio_ana.py,2026-08-07,"viabilidade confirmada: existe estação telemétrica de nível/vazão no próprio município (não só 'próxima'), sem autenticação necessária no serviço legado usado; script só documenta e exemplifica a consulta (183 leituras de exemplo em data/raw/nivel-rio_ana_exemplo-consulta.csv), NÃO implementa ingestão contínua; risco: a ANA está migrando para uma API nova (hidrowebservice.ana.gov.br) que exige cadastro e token OAuth — testado sem credenciais, retorna 401; se o serviço legado for desativado no futuro, será necessário cadastro e fluxo OAuth"
risco_geologico_cprm,CPRM/SGB — Carta de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações,vetor (polígonos),dados abertos,"municipal (mapeamento por polígono, não é malha regular)",estático (validado em campo em 2021),https://rigeo.sgb.gov.br/server/api/discover/search/objects,scripts/download/risco_geologico_cprm.py,2026-08-07,"existe para Uruguaiana (produto cobre só ~23 municípios prioritários do RS, não todos); IMPORTANTE — contagem de polígonos e área contam histórias diferentes, usar área para 'quanto do município': inundação (1204 km² mapeados, ~21% do município) tem Alta dominando por área (862 km², 72% da área mapeada) mesmo com Média tendo mais polígonos (2543 vs 445) por serem menores; movimento de massa é quase todo Baixa por área (5699 km², praticamente o município inteiro, 1 único polígono) com só pontos isolados em Média (0,5 km² somados em 42 polígonos pequenos, prováveis margens/taludes) — coerente com o relevo plano do Pampa; já publicado em EPSG:31981 pela fonte, sem reprojeção necessária; baixado do repositório institucional (RIGEO) por busca de texto pelo nome do município, não hardcoded — a API ArcGIS ao vivo do SGB para essas mesmas camadas se mostrou pouco confiável (timeout/503 na camada de inundação, 0 feições retornadas na de movimento de massa mesmo havendo dado no pacote oficial)"
saneamento_snis,SNIS (Sistema Nacional de Informações sobre Saneamento) / Ministério das Cidades-MDR,tabular,dados abertos (com restrição de acesso ao arquivo bruto),municipal,anual,https://app4.cidades.gov.br/serieHistorica/aguaEsgoto,scripts/download/saneamento_snis.py,2026-08-07,"NÃO baixado — indisponibilidade real de automação, não falha de processamento: (1) portal de dados abertos só linka pro app antigo, sem arquivo direto; (2) a planilha oficial por ano (Planilhas_AE{ano}.zip) redireciona para login gov.br obrigatório (confirmado por requisição real); (3) o app público 'Série Histórica' não exige login mas é uma aplicação JSF antiga com estado de sessão, sem endpoint de exportação simples — automatizar exigiria Playwright (não implementado, decisão do usuário em 2026-08-08); alternativa não seguida: pacote basedosdados/BigQuery, exige conta GCP do usuário; documentação completa em data/raw/saneamento_snis_indisponivel.json"
aguas_subterraneas_siagas,SGB/CPRM — SIAGAS (Sistema de Informações de Águas Subterrâneas),vetor (pontual),dados abertos (cadastro público),pontual (poço),atualização contínua (snapshot no acesso),https://geoportal.sgb.gov.br/server/rest/services/hidrologia/SIAGAS_MODDAD/MapServer/0,scripts/download/pocos_siagas.py,2026-08-09,"340 poços cadastrados em Uruguaiana; filtro por num_municipio=<código IBGE> direto no serviço ArcGIS REST do SGB (sem hardcode de nome, sem precisar do portal manual siagas.sgb.gov.br); campos com maior taxa de dado faltante: vazão específica (57,6%), nível dinâmico (55,9%), uso da água (49,4%), nível estático (30,9%); camada só tem vazão específica, não vazão de explotação/bombeamento; alternativa manual documentada no metadado caso o serviço fique indisponível no futuro"
vegetacao_nativa,"IBGE — Banco de Dados de Informações Ambientais (BDiA), tema Vegetação",vetor (polígonos),dados abertos,escala 1:250.000,estático (mapeamento sistemático nacional),"https://geoservicos.ibge.gov.br/geoserver/BDIA/ows (WFS, camada BDIA:vege_area)",scripts/download/vegetacao_ibge_bdia.py,2026-08-09,"439 feições após recorte pela área de estudo (área total ~5691 km², bate com a área municipal); classes encontradas: Agropecuária 90,2% (5136,8 km²), Vegetação Secundária sem palmeiras 4,6%, Corpo d'água continental 4,6%, Influência urbana 0,6% — nenhuma fitofisionomia nativa primária mapeada dentro do limite municipal nesta escala, coerente com pampa intensamente ocupado por agropecuária; CONCEITUALMENTE DIFERENTE de uso-solo_mapbiomas (este é classificação de fitofisionomias nativas remanescentes a 1:250.000, o MapBiomas é uso/cobertura genérico a 30m) — não usar um no lugar do outro; geologia_ibge-bdia/geomorfologia_ibge-bdia/pedologia_ibge-bdia (mesmo acervo BDiA, workspace confirmado real: geol_area/geom_area/pedo_area) NÃO foram baixados nesta tarefa"
app_hidrica_calculada,Derivado — rede-hidrografica_ana-bho + vegetacao_ibge-bdia (largura do rio Uruguai) + uso-solo_mapbiomas 2024 (ocupação),"vetor (polígonos, derivado) + tabular (ocupação por classe)",derivado de dados abertos,faixa de APP por curso d'água (30m rede local; 200m rio Uruguai),estático (calculado a partir da rede de drenagem atual + MapBiomas 2024),,scripts/processamento/app_hidrica.py,,"APROXIMAÇÃO METODOLÓGICA (Lei 12.651/2012, art. 4º, I) — não serve para fiscalização/licenciamento; rede local assume largura <10m -> 30m (BHO não tem campo de largura); rio Uruguai identificado por trecho_drenagem.nooriginal=='Rio Uruguai' (44 trechos, sem hardcode geométrico), largura estimada por seções transversais contra o polígono de água do BDiA (mediana 532,9m de 130 amostras, min 139,7/max 1318,3m) -> faixa de 200m; área total da APP 327,2 km² (304,9 rede local + 22,6 rio Uruguai, com sobreposições possíveis entre as duas na versão por curso — usar a união para totais); ocupação por MapBiomas 2024: 18,86% da área da APP é classe antrópica (23,53% se excluir a lâmina d'água do denominador); Floresta Plantada tratada como antrópica na classificação (conversão de vegetação nativa para monocultura)"
geologia,"IBGE — Banco de Dados de Informações Ambientais (BDiA), tema Geologia",vetor (polígonos),dados abertos,escala 1:250.000,estático (mapeamento sistemático nacional),"https://geoservicos.ibge.gov.br/geoserver/BDIA/ows (WFS, camada BDIA:geol_area)",scripts/download/geociencias_ibge_bdia.py,2026-08-09,"431 feições após recorte pela área de estudo (área total ~5691,5 km², bate com vegetação/geomorfologia/pedologia); classe dominante por área: Formação Serra Geral 4649,7 km² (81,7%, basalto — coerente com o planalto vulcânico da bacia do Paraná), seguida de Depósitos Aluvionares Holocênicos 487,5 km² e Formação Botucatu (arenito) 235,6 km²; NÃO CONFUNDIR com risco-geologico_cprm (já processado) — este é mapeamento de unidades litológicas/geológicas, aquele é suscetibilidade a movimento de massa/inundação (temas diferentes, ver nota no metadado)"
geomorfologia,"IBGE — Banco de Dados de Informações Ambientais (BDiA), tema Geomorfologia",vetor (polígonos),dados abertos,escala 1:250.000,estático (mapeamento sistemático nacional),"https://geoservicos.ibge.gov.br/geoserver/BDIA/ows (WFS, camada BDIA:geom_area)",scripts/download/geociencias_ibge_bdia.py,2026-08-09,"462 feições após recorte pela área de estudo (área total ~5691,5 km²); praticamente todo o município (86,9%, 4945,6 km²) é 'Planalto da Campanha' — coerente com o relevo plano/suave do Pampa já confirmado em risco_geologico_cprm (movimento de massa quase todo Baixa por área); restante é 'Planícies Alúvio-coluvionares' (8,5%, 485,5 km²) e corpo d'água (4,6%)"
pedologia,"IBGE — Banco de Dados de Informações Ambientais (BDiA), tema Pedologia",vetor (polígonos),dados abertos,escala 1:250.000,estático (mapeamento sistemático nacional),"https://geoservicos.ibge.gov.br/geoserver/BDIA/ows (WFS, camada BDIA:pedo_area)",scripts/download/geociencias_ibge_bdia.py,2026-08-09,"488 feições após recorte pela área de estudo (área total ~5691,5 km²); classes dominantes por área: Neossolo Litólico Chernossólico (RLm) 2945,9 km² (51,8%, solos rasos sobre rocha, associados a relevo suave-ondulado), Chernossolo Ebânico Carbonático (MEk) 1561,0 km² (27,4%, solos férteis típicos de pampa/campanha gaúcha), seguidos por Planossolo (SXe), Plintossolo (FTd) e Vertissolo (VEk) em menor proporção"
demografia_censitaria,IBGE — API SIDRA/Agregados (tabelas 200/202/9514/9923/6579/6706),tabular,dados abertos,municipal (agregado; não por setor censitário),"pontual nos anos de Censo (1970/1980/1991/2000/2010/2022) + anual entre censos (estimativas, 2001-2025 com lacunas em 2007/2010/2022/2023)",https://servicodados.ibge.gov.br/api/v3/agregados,scripts/download/demografia_ibge_sidra.py,2026-08-10,"série municipal (não por setor — detalhe espacial 2022 já existe em vulnerabilidade_censo.py/setores-censitarios) de população total, sexo, grupo de idade (faixas de 5 anos) e situação urbano/rural; tabela 200 (Censos 1970-2010) e 9514 (Censo 2022) usam os mesmos 21 grupos etários de 5 anos (nomes de categoria idênticos nos metadados), permitindo pirâmide etária comparável entre 2000/2010/2022; tabela 202 (situação do domicílio, 1970-2010) complementada pela 9923 (Censo 2022, sem abertura por sexo) porque 202 não tem versão 2022; tabela 6706 (pirâmide etária) é da PNAD Contínua, não do Censo — testada e confirmada SEM dado em nível municipal (amostra não representativa para município pequeno), documentada como indisponível em piramide-etaria_ibge-sidra-tabela6706_indisponivel-municipal.json; população total por censo: 74613 (1970), 91498 (1980), 117456 (1991), 126936 (2000), 125435 (2010), 117210 (2022) — queda 2010→2022 real, não erro de leitura"
demografia_indicadores_derivados,Derivado — SIDRA tabelas 200/202/9514/9923/6579 (Etapa B),tabular,derivado de dados abertos,municipal,pontual nos 6 censos (série de população: também anual 2001-2025),,scripts/processamento/demografia_indicadores.py,2026-08-10,"índice de envelhecimento, razão de dependência, % urbano/rural e população vulnerável (0-4 e 60+) calculados para os 6 censos (1970-2022); 1970/1980/1991 usam a categoria agregada 80+ da fonte (sem abertura fina 80-84...100+, que só existe a partir do Censo 2000) — mesma cobertura etária, documentado no metadado; fórmulas completas em data/processed/demografia-indicadores_ibge-sidra_1970-2022_municipal.json"
setores_censitarios_historicos,"IBGE (Malha de Setores Censitários + Agregado por Setores, Censos 2000 e 2010)",vetor + tabular (join por cd_setor),dados abertos,setor censitário,estático (Censos 2000 e 2010),https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/,scripts/download/setores_censitarios_historico.py,2026-08-10,"145 setores em 2000 (122 urbanos/23 rurais) e 150 em 2010 (121 urbanos/27 rurais, 2 sem dado atributivo na fonte); população somada bate exatamente com os totais censitários já usados na Etapa A do estudo demográfico (126936 em 2000, 125435 em 2010); malha 2000 vem em DOIS produtos separados (setor_urbano por município + setor_rural por UF) com CRS de origem problemático — urbano tem .prj legado do ArcView sem datum (GDAL interpreta errado como WGS84/UTM21N), forçado para SAD69/UTM21S (EPSG:29191) com base na documentação técnica oficial; rural não tem .prj algum, forçado para SAD69 geográfico (EPSG:4618); malha 2010 já vem com CRS correto e explícito no .prj (SIRGAS2000 geográfico, EPSG:4674); AVISO CRÍTICO — NÃO comparar/sobrepor estas malhas geometricamente entre si nem com a de 2022 (vulnerabilidade_censo.py): desalinhamento de fronteira entre anos censitários reconhecido pelo IBGE, cada ano é uma foto independente da divisão territorial vigente; série temporal comparável está agregada no nível municipal em demografia_ibge_sidra.py/demografia_indicadores.py; integrado ao geoportal como camada de densidade populacional por setor com seletor de ano (2022/2010/2000, 1 ano visível por vez — ver scripts/geoportal/converter_setores_historico.py e js/layers.js); crianças 0-4 e idosos 60+ por setor permanecem só em 2022 (fonte de 2000/2010 não traz distribuição etária por setor)"
desastres_reconhecimentos_federais,S2ID (Sistema Integrado de Informações sobre Desastres) / SEDEC-MIDR,tabular,dados abertos,municipal (Código IBGE); baixado por UF e filtrado localmente,"por evento (data do decreto/portaria), 2013-2026",https://s2id.mi.gov.br/paginas/relatorios/ (Relatório Gerencial - Reconhecimentos realizados),scripts/download/desastres_s2id.py,2026-08-11,"17 reconhecimentos federais (Situação de Emergência/SE ou Estado de Calamidade Pública/ECP) em Uruguaiana, 2014-2025 (nenhum decreto em 2013 na série da fonte para o município) — 7 inundações, 4 estiagens, 2 tempestades locais/convectivas (chuvas intensas + vendaval), 2 doenças infecciosas virais (ECP, pandemia 2021) e 1 enxurrada; sem API/CSV por querystring — automatizado via Playwright simulando o formulário 'Relatório Gerencial - Reconhecimentos realizados' (JSF/PrimeFaces, período máx. 365 dias/consulta, 1 consulta por ano 2013-2026, ~4min no total); página alternativa 'Série Histórica' do mesmo site foi DESCARTADA — dados congelados em 2016 (confirmado consultando Brasil inteiro 2003-2026, nenhum registro após 2016 nesse módulo); tabela basedosdados/BigQuery br_sedec_desastres.reconhecimentos_vigentes tem id_municipio pronto mas é só retrato do vigente hoje (1 data de extração), não série histórica — não usada sozinha; baixa por UF (derivada do código IBGE via API de localidades do IBGE, não hardcoded) e filtra localmente por Código IBGE — bruto em data/raw/desastres_s2id_2013-2026_estadual.csv (4775 linhas, todo o RS), filtrado em data/processed/desastres_s2id_2013-2026_municipal.csv"
agropecuaria_pam_ppm,IBGE — SIDRA (Produção Agrícola Municipal / Pesquisa da Pecuária Municipal),tabular,dados abertos,municipal (estimativa do IBGE — sem versão por setor censitário nem geolocalizada),"anual, 1974-2024 (série completa, sem lacunas)",https://servicodados.ibge.gov.br/api/v3/agregados/5457 (PAM); /3939 e /74 (PPM),scripts/download/agropecuaria_ibge_pam_ppm.py,2026-08-11,"decisão com o usuário (2026-08-11): fica como indicador TABULAR de contexto, sem virar camada espacial — PAM/PPM não tem granularidade abaixo do município na fonte; 3 tabelas SIDRA (de 13 candidatas investigadas no grupo Produção Agrícola/Pesquisa da Pecuária Municipal): 5457 (PAM consolidada, área plantada/colhida/quantidade/valor, 72 culturas), 3939 (efetivo de rebanhos, 10 tipos), 74 (produção de origem animal: leite/ovos/mel/lã/casulos); tratamento de símbolo mais preciso que o padrão do projeto: '-' na fonte SIDRA = zero real (cultura/rebanho não produzido, vira 0.0), '..'/'X'/'...' = ausência de dado (vira NaN) — distinção importante aqui porque a maioria das 72 culturas não é plantada em Uruguaiana (9284 células '-' de 14688 linhas na PAM); Uruguaiana é dominada por arroz irrigado (70.825ha colhidos em 2024, ~94% da área colhida total do município) e soja (4.100ha), rebanho bovino crescente (307.522 cabeças em 2000 -> 365.849 em 2024) e ovino em forte queda (290.824 -> 137.773, mesmo padrão já visto em outros municípios do Pampa gaúcho); CHECAGEM DE CONSISTÊNCIA com uso-solo_mapbiomas (classe 'Arroz', class_id 40): área colhida de arroz (PAM) vs área da classe Arroz (MapBiomas) convergem bem nos anos recentes (-0,9% em 2024, +18% em 2020) mas divergem muito antes de 2015 (até -66% em 1985/1995 — MapBiomas subestimando fortemente arroz irrigado nos anos mais antigos da série, coerente com a acurácia de classificação do MapBiomas ter melhorado muito ao longo das coleções para essa classe específica no Sul do Brasil) — checagem feita ad-hoc nesta sessão, não gerou arquivo novo (sem camada espacial criada, conforme decisão)"
